chart_date,chart_type,rank,title,artist,url
2000-02-19,rock,6,Miserable,Lit,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,7,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,8,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,9,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,10,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,11,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,12,Stacked Actors,Foo Fighters,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,13,What If,Creed,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,14,Weapon And The Wound,Days Of The New,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,15,Everlasting Gaze,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,16,Go Let It Out,Oasis,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,17,Maybe Someday,The Cure,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,18,Run To The Water,Live,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,19,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,20,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,21,Flowing,311,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,22,The Ground Beneath Her Feet,U2,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,23,Stand Inside Your Love,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,24,Stiff Upper Lip,AC/DC,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,25,Sometimes I Don't Mind,The Suicide Machines,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,26,Is Anybody Home?,Our Lady Peace,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,27,Make Me Bad,KoRn,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,28,Check Your Head,Buckcherry,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,29,Natural Blues,Moby,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,30,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0008.html
2000-02-26,rock,1,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,2,Ex-Girlfriend,No Doubt,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,3,Miserable,Lit,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,4,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,5,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,6,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,7,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,8,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,9,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,10,Stand Inside Your Love,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,11,Stacked Actors,Foo Fighters,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,12,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,13,Maybe Someday,The Cure,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,14,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,15,Run To The Water,Live,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,16,What If,Creed,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,17,The Ground Beneath Her Feet,U2,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,18,Weapon And The Wound,Days Of The New,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,19,Spiders,System Of A Down,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,20,Stiff Upper Lip,AC/DC,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,21,Sleep Now In The Fire,Rage Against The Machine,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,22,Flowing,311,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,23,Check Your Head,Buckcherry,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,24,Sometimes I Don't Mind,The Suicide Machines,https://tunecaster.com/charts/00/rock0009.html
